2022-05-16 21:05:911 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 21:05:166 INFO  HomePage :53 - Clicking on signIn [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 21:05:280 INFO  SignInPage :88 - Enter email Ram to email field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='email_create']]
2022-05-16 21:05:353 INFO  SignInPage :71 - Clicking on createAnAccountButton [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-16 21:05:848 INFO  CreateAccountPage :113 - Clicking on title button [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='id_gender1']]
2022-05-16 21:05:947 INFO  CreateAccountPage :118 - Enter firstname Rajto firstName field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='customer_firstname']]
2022-05-16 21:05:37 INFO  CreateAccountPage :123 - Enter lastName Devto lastName field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='customer_lastname']]
2022-05-16 21:05:130 INFO  CreateAccountPage :133 - Enter passField 12345678 to password field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='passwd']]
2022-05-16 21:05:289 INFO  CreateAccountPage :138 - Selecting day 5 from dropdown [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //select[@id='days']]
2022-05-16 21:05:461 INFO  CreateAccountPage :143 - Selecting month 2 from dropdown [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //select[@id='months']]
2022-05-16 21:05:570 INFO  CreateAccountPage :148 - Selecting year 1990 from dropdown [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //select[@id='years']]
2022-05-16 21:05:655 INFO  CreateAccountPage :153 - Clicking on newsletterbox [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='newsletter']]
2022-05-16 21:05:733 INFO  CreateAccountPage :158 - Clicking on receiveOfferBox [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='optin']]
2022-05-16 21:05:818 INFO  CreateAccountPage :173 - Enter company abc to company field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='company']]
2022-05-16 21:05:910 INFO  CreateAccountPage :178 - Enter address 10, Beats to email field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='address1']]
2022-05-16 21:05:991 INFO  CreateAccountPage :183 - Enter address 10S to email field [[ChromeDriver: chrome on WINDOWS (be29acaece2316f4ea490cd1aa3cf263)] -> xpath: //input[@id='address2']]
